,original_title,year_of_release,genres,summary,actors,Movie_COL
1021,C Kkompany,2008,Comedy Drama Thriller,Three down on their luck men adapts a strategical idea of extortion  only to find themselves in deep trouble.,Tusshar Kapoor,C Kkompany Comedy Drama Thriller Three down on their luck men adapts a strategical idea of extortion  only to find themselves in deep trouble. Tusshar Kapoor
1022,Chamku,2008,Action Crime Thriller,A traumatized child becomes a Naxalite  and upon being captured must agree to become a police-assassin.,Bobby Deol,Chamku Action Crime Thriller A traumatized child becomes a Naxalite  and upon being captured must agree to become a police-assassin. Bobby Deol
1023,Mukhbiir,2008,Crime Drama Mystery,A youth is compelled by police to infiltrate gangs and terrorist groups.,Sammir Dattani,Mukhbiir Crime Drama Mystery A youth is compelled by police to infiltrate gangs and terrorist groups. Sammir Dattani
1024,Tahaan,2008,Drama,After his family's donkey is confiscated by a moneylender  8-year-old Tahaan travels across conflict-torn Kashmir to find his beloved pet.,Victor Banerjee,Tahaan Drama After his family's donkey is confiscated by a moneylender  8-year-old Tahaan travels across conflict-torn Kashmir to find his beloved pet. Victor Banerjee
1025,1920,2008,Horror Mystery Romance,After forsaking his family and religion  a husband finds his wife is demoniacally possessed.,Rajniesh Duggall,1920 Horror Mystery Romance After forsaking his family and religion  a husband finds his wife is demoniacally possessed. Rajniesh Duggall
1026,The Last Lear,2007,Drama,"An aging Shakespearean actor takes on one of the bard's most challenging roles. Based on Utpal Dutt's play ""Aajker Shahjahan"".",Amitabh Bachchan,"The Last Lear Drama An aging Shakespearean actor takes on one of the bard's most challenging roles. Based on Utpal Dutt's play ""Aajker Shahjahan"". Amitabh Bachchan"
1027,Welcome to Sajjanpur,2008,Comedy Drama,An educated man spends his days writing letters for the varied inhabitants of his small  poor  and illiterate village  in this political and social satire.,Shreyas Talpade,Welcome to Sajjanpur Comedy Drama An educated man spends his days writing letters for the varied inhabitants of his small  poor  and illiterate village  in this political and social satire. Shreyas Talpade
1028,Saas Bahu Aur Sensex,2008,Comedy Drama,Upper middle-class women leave daytime soaps to invest in the stock market.,Kiron Kher,Saas Bahu Aur Sensex Comedy Drama Upper middle-class women leave daytime soaps to invest in the stock market. Kiron Kher
1029,Hari Puttar: A Comedy of Terrors,2008,Comedy Drama Family,Inadvertently left at home by adults  young cousins face-off against burglars.,Jackie Shroff,Hari Puttar: A Comedy of Terrors Comedy Drama Family Inadvertently left at home by adults  young cousins face-off against burglars. Jackie Shroff
1030,Drona,2008,Action Adventure Fantasy,A young man learns he is the latest in line of a dynasty of ancestral warriors dedicated to guarding a mystic source of cosmic energy  and the time has come for him to take the role.,Jayshree Arora,Drona Action Adventure Fantasy A young man learns he is the latest in line of a dynasty of ancestral warriors dedicated to guarding a mystic source of cosmic energy  and the time has come for him to take the role. Jayshree Arora
1031,Hello,2008,Drama Romance,Call-center workers receive a phone call from God.,Sharman Joshi,Hello Drama Romance Call-center workers receive a phone call from God. Sharman Joshi
1032,Karzzzz,2008,Action Drama Musical,A singer/dancer  while on tour  starts hallucinating and having visions of having been there before.,Himesh Reshammiya,Karzzzz Action Drama Musical A singer/dancer  while on tour  starts hallucinating and having visions of having been there before. Himesh Reshammiya
1033,Heroes,2008,Action Adventure Comedy,Two boys travel a thousand miles to deliver three letters as a part of their film school assignment. However  little do they know that the journey they have embarked upon will give a new meaning to their life.,Sohail Khan,Heroes Action Adventure Comedy Two boys travel a thousand miles to deliver three letters as a part of their film school assignment. However  little do they know that the journey they have embarked upon will give a new meaning to their life. Sohail Khan
1034,Roadside Romeo,2008,Adventure Animation Comedy,This is the story of Romeo. A dude who was living the life. He had the works - the mansion to live in  the chicks to party with and the cars to be driven around in. Until one day  the ...                    ,Saif Ali Khan,Roadside Romeo Adventure Animation Comedy This is the story of Romeo. A dude who was living the life. He had the works - the mansion to live in  the chicks to party with and the cars to be driven around in. Until one day  the ...                     Saif Ali Khan
1035,Ek Vivaah... Aisa Bhi,2008,Drama Romance,Bhopal-based statuesque singing beauty  Chandni Shrivastava  falls in love with wealthy fellow-singer  Prem Ajmera. Her widowed dad  Bhushan  and his widowed mother both approve and they ...                    ,Isha Koppikar,Ek Vivaah... Aisa Bhi Drama Romance Bhopal-based statuesque singing beauty  Chandni Shrivastava  falls in love with wealthy fellow-singer  Prem Ajmera. Her widowed dad  Bhushan  and his widowed mother both approve and they ...                     Isha Koppikar
1036,Desh Drohi,2008,Action Thriller,Raja arrives in Mumbai looking for a job but ends up killing the brother of a local drug dealer. Realising the corrupt nature of politics  he goes on a killing spree and kills ten people in 24 hours.,Kamal Rashid Khan,Desh Drohi Action Thriller Raja arrives in Mumbai looking for a job but ends up killing the brother of a local drug dealer. Realising the corrupt nature of politics  he goes on a killing spree and kills ten people in 24 hours. Kamal Rashid Khan
1037,Fashion,2008,Drama,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that there's a price for her glamorous new life.,Priyanka Chopra,Fashion Drama A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds out that there's a price for her glamorous new life. Priyanka Chopra
1038,Dasvidaniya,2008,Comedy Drama,"A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die.",Vinay Pathak,"Dasvidaniya Comedy Drama A man who loves to make ""to-do lists"" makes one last bucket list when he realizes he is about to die. Vinay Pathak"
1039,Yuvvraaj,2008,Comedy Drama Romance,Two estranged brothers must learn to work together to claim their rightful share of an inheritance left solely to their eldest sibling.,Salman Khan,Yuvvraaj Comedy Drama Romance Two estranged brothers must learn to work together to claim their rightful share of an inheritance left solely to their eldest sibling. Salman Khan
1040,Oye Lucky! Lucky Oye!,2008,Comedy Crime Drama,A burglar reflects on his life and loves; while the media speculates how he managed to pull off so many heists.,Abhay Deol,Oye Lucky! Lucky Oye! Comedy Crime Drama A burglar reflects on his life and loves; while the media speculates how he managed to pull off so many heists. Abhay Deol
1041,Oh My God!!,2008,Comedy Drama,An employee puts more time trying to get people to invest in a novel money-making scheme.,Vinay Pathak,Oh My God!! Comedy Drama An employee puts more time trying to get people to invest in a novel money-making scheme. Vinay Pathak
1042,Sorry Bhai!,2008,Comedy Drama Romance,While attending his brother's wedding  a Scientist falls for the bride.,Shabana Azmi,Sorry Bhai! Comedy Drama Romance While attending his brother's wedding  a Scientist falls for the bride. Shabana Azmi
1043,1971,2007,Action Drama War,Based on true facts  the film revolves around 6 brave soldiers who escape from the clutches of the Pakistan Army and risk death with honour and courage with sacrifice towards their journey home.,Manoj Bajpayee,1971 Action Drama War Based on true facts  the film revolves around 6 brave soldiers who escape from the clutches of the Pakistan Army and risk death with honour and courage with sacrifice towards their journey home. Manoj Bajpayee
1044,Meerabai Not Out,2008,Comedy Drama Romance,A cricket-loving school-teacher faces challenges after agreeing to marry a doctor.,Anupam Kher,Meerabai Not Out Comedy Drama Romance A cricket-loving school-teacher faces challenges after agreeing to marry a doctor. Anupam Kher
1045,Wafaa,2008,Drama Mystery Romance,A recently widowed woman must deal with a male claiming to be her husband.,Rajesh Khanna,Wafaa Drama Mystery Romance A recently widowed woman must deal with a male claiming to be her husband. Rajesh Khanna
1046,Gumnaam: The Mystery,2008,Crime Mystery Romance,A male tries to locate his model-turned-actress girlfriend after she mysteriously disappears.,Dino Morea,Gumnaam: The Mystery Crime Mystery Romance A male tries to locate his model-turned-actress girlfriend after she mysteriously disappears. Dino Morea
1047,Dil Kabaddi,2008,Comedy Drama,"The plot is similar to that of Woody Allen's movie named ""Husbands and Wives"".",Irrfan Khan,"Dil Kabaddi Comedy Drama The plot is similar to that of Woody Allen's movie named ""Husbands and Wives"". Irrfan Khan"
1048,Ram Gopal Varma Ki Aag,2007,Action Adventure Comedy,Nasik-based Heerendra Dhaan and Raj Ranade are bodyguards of a politician  but after their employer is implicated in a scam  they end up assaulting a police officer and flee to Mumbai. Once...                    ,Amitabh Bachchan,Ram Gopal Varma Ki Aag Action Adventure Comedy Nasik-based Heerendra Dhaan and Raj Ranade are bodyguards of a politician  but after their employer is implicated in a scam  they end up assaulting a police officer and flee to Mumbai. Once...                     Amitabh Bachchan
1049,Aap Kaa Surroor: The Moviee - The Real Luv Story,2007,Drama Romance Thriller,A wealthy woman falls in love with a rock-star who will soon get arrested for Murder.,Himesh Reshammiya,Aap Kaa Surroor: The Moviee - The Real Luv Story Drama Romance Thriller A wealthy woman falls in love with a rock-star who will soon get arrested for Murder. Himesh Reshammiya
1050,Aggar: Passion Betrayal Terror,2007,Romance Thriller,A woman discovers that becoming attracted to the wrong man can have deadly consequences in this taut and tense thriller. Janvi (Udita Goswami) is a woman whose life would seem ideal on the ...                    ,Tusshar Kapoor,Aggar: Passion Betrayal Terror Romance Thriller A woman discovers that becoming attracted to the wrong man can have deadly consequences in this taut and tense thriller. Janvi (Udita Goswami) is a woman whose life would seem ideal on the ...                     Tusshar Kapoor
1051,Anwar,2007,Drama Romance Thriller,Anwar is a Muslim who lives a middle-class lifestyle in Lucknow  India  along with his mom  brother  and Bhabhi  Suraiya. Anwar is doing a research on ancient Hindu Mandirs. They rent out a...                    ,Nauheed Cyrusi,Anwar Drama Romance Thriller Anwar is a Muslim who lives a middle-class lifestyle in Lucknow  India  along with his mom  brother  and Bhabhi  Suraiya. Anwar is doing a research on ancient Hindu Mandirs. They rent out a...                     Nauheed Cyrusi
